#输入参数
样品名称,Bi0.3Sb1.7Te3-cross-plane
纵波声速,2372.0
横波声速,1483.0
样品密度,4.85
相对原子质量,652.469
化学式中原子数目,5.0
 , 
#输出结果
平均原子体积(A^3),44.6783614276228
原子数密度(A^-3),0.022382199526720808
非晶极限恒定值版(W/m/K),0.23588477243663508
温度,非晶极限(W/m/K)
300.0,0.233056
301.0,0.233075
302.0,0.233093
303.0,0.233112
304.0,0.233130
305.0,0.233147
306.0,0.233165
307.0,0.233183
308.0,0.233200
309.0,0.233217
310.0,0.233234
311.0,0.233251
312.0,0.233268
313.0,0.233284
314.0,0.233300
315.0,0.233317
316.0,0.233333
317.0,0.233349
318.0,0.233364
319.0,0.233380
320.0,0.233395
321.0,0.233411
322.0,0.233426
323.0,0.233441
324.0,0.233456
325.0,0.233471
326.0,0.233485
327.0,0.233500
328.0,0.233514
329.0,0.233528
330.0,0.233543
331.0,0.233557
332.0,0.233570
333.0,0.233584
334.0,0.233598
335.0,0.233611
336.0,0.233625
337.0,0.233638
338.0,0.233651
339.0,0.233664
340.0,0.233677
341.0,0.233690
342.0,0.233703
343.0,0.233715
344.0,0.233728
345.0,0.233740
346.0,0.233752
347.0,0.233765
348.0,0.233777
349.0,0.233789
350.0,0.233800
351.0,0.233812
352.0,0.233824
353.0,0.233835
354.0,0.233847
355.0,0.233858
356.0,0.233869
357.0,0.233881
358.0,0.233892
359.0,0.233903
360.0,0.233914
361.0,0.233924
362.0,0.233935
363.0,0.233946
364.0,0.233956
365.0,0.233967
366.0,0.233977
367.0,0.233988
368.0,0.233998
369.0,0.234008
370.0,0.234018
371.0,0.234028
372.0,0.234038
373.0,0.234048
374.0,0.234057
375.0,0.234067
376.0,0.234077
377.0,0.234086
378.0,0.234096
379.0,0.234105
380.0,0.234114
381.0,0.234123
382.0,0.234133
383.0,0.234142
384.0,0.234151
385.0,0.234160
386.0,0.234168
387.0,0.234177
388.0,0.234186
389.0,0.234195
390.0,0.234203
391.0,0.234212
392.0,0.234220
393.0,0.234229
394.0,0.234237
395.0,0.234245
396.0,0.234253
397.0,0.234262
398.0,0.234270
399.0,0.234278
400.0,0.234286
401.0,0.234294
402.0,0.234301
403.0,0.234309
404.0,0.234317
405.0,0.234325
406.0,0.234332
407.0,0.234340
408.0,0.234347
409.0,0.234355
410.0,0.234362
411.0,0.234370
412.0,0.234377
413.0,0.234384
414.0,0.234391
415.0,0.234399
416.0,0.234406
417.0,0.234413
418.0,0.234420
419.0,0.234427
420.0,0.234434
421.0,0.234440
422.0,0.234447
423.0,0.234454
424.0,0.234461
425.0,0.234467
426.0,0.234474
427.0,0.234480
428.0,0.234487
429.0,0.234493
430.0,0.234500
431.0,0.234506
432.0,0.234513
433.0,0.234519
434.0,0.234525
435.0,0.234531
436.0,0.234537
437.0,0.234544
438.0,0.234550
439.0,0.234556
440.0,0.234562
441.0,0.234568
442.0,0.234574
443.0,0.234580
444.0,0.234585
445.0,0.234591
446.0,0.234597
447.0,0.234603
448.0,0.234608
449.0,0.234614
450.0,0.234620
451.0,0.234625
452.0,0.234631
453.0,0.234636
454.0,0.234642
455.0,0.234647
456.0,0.234652
457.0,0.234658
458.0,0.234663
459.0,0.234668
460.0,0.234674
461.0,0.234679
462.0,0.234684
463.0,0.234689
464.0,0.234694
465.0,0.234700
466.0,0.234705
467.0,0.234710
468.0,0.234715
469.0,0.234720
470.0,0.234724
471.0,0.234729
472.0,0.234734
473.0,0.234739
474.0,0.234744
475.0,0.234749
476.0,0.234753
477.0,0.234758
478.0,0.234763
479.0,0.234767
480.0,0.234772
481.0,0.234777
482.0,0.234781
483.0,0.234786
484.0,0.234790
485.0,0.234795
486.0,0.234799
487.0,0.234804
488.0,0.234808
489.0,0.234812
490.0,0.234817
491.0,0.234821
492.0,0.234825
493.0,0.234830
494.0,0.234834
495.0,0.234838
496.0,0.234842
497.0,0.234847
498.0,0.234851
499.0,0.234855
500.0,0.234859
501.0,0.234863
502.0,0.234867
503.0,0.234871
504.0,0.234875
505.0,0.234879
506.0,0.234883
507.0,0.234887
508.0,0.234891
509.0,0.234895
510.0,0.234899
511.0,0.234902
512.0,0.234906
513.0,0.234910
514.0,0.234914
515.0,0.234918
516.0,0.234921
517.0,0.234925
518.0,0.234929
519.0,0.234932
520.0,0.234936
521.0,0.234940
522.0,0.234943
523.0,0.234947
524.0,0.234950
525.0,0.234954
526.0,0.234957
527.0,0.234961
528.0,0.234964
529.0,0.234968
530.0,0.234971
531.0,0.234975
532.0,0.234978
533.0,0.234982
534.0,0.234985
535.0,0.234988
536.0,0.234992
537.0,0.234995
538.0,0.234998
539.0,0.235002
540.0,0.235005
541.0,0.235008
542.0,0.235011
543.0,0.235014
544.0,0.235018
545.0,0.235021
546.0,0.235024
547.0,0.235027
548.0,0.235030
549.0,0.235033
550.0,0.235036
551.0,0.235039
552.0,0.235042
553.0,0.235046
554.0,0.235049
555.0,0.235052
556.0,0.235055
557.0,0.235057
558.0,0.235060
559.0,0.235063
560.0,0.235066
561.0,0.235069
562.0,0.235072
563.0,0.235075
564.0,0.235078
565.0,0.235081
566.0,0.235084
567.0,0.235086
568.0,0.235089
569.0,0.235092
570.0,0.235095
571.0,0.235097
572.0,0.235100
573.0,0.235103
574.0,0.235106
575.0,0.235108
576.0,0.235111
577.0,0.235114
578.0,0.235116
579.0,0.235119
580.0,0.235122
581.0,0.235124
582.0,0.235127
583.0,0.235129
584.0,0.235132
585.0,0.235135
586.0,0.235137
587.0,0.235140
588.0,0.235142
589.0,0.235145
590.0,0.235147
591.0,0.235150
592.0,0.235152
593.0,0.235155
594.0,0.235157
595.0,0.235159
596.0,0.235162
597.0,0.235164
598.0,0.235167
599.0,0.235169
600.0,0.235171
601.0,0.235174
602.0,0.235176
603.0,0.235179
604.0,0.235181
605.0,0.235183
606.0,0.235186
607.0,0.235188
608.0,0.235190
609.0,0.235192
610.0,0.235195
611.0,0.235197
612.0,0.235199
613.0,0.235201
614.0,0.235204
615.0,0.235206
616.0,0.235208
617.0,0.235210
618.0,0.235212
619.0,0.235214
620.0,0.235217
621.0,0.235219
622.0,0.235221
623.0,0.235223
624.0,0.235225
625.0,0.235227
626.0,0.235229
627.0,0.235231
628.0,0.235234
629.0,0.235236
630.0,0.235238
631.0,0.235240
632.0,0.235242
633.0,0.235244
634.0,0.235246
635.0,0.235248
636.0,0.235250
637.0,0.235252
638.0,0.235254
639.0,0.235256
640.0,0.235258
641.0,0.235260
642.0,0.235262
643.0,0.235263
644.0,0.235265
645.0,0.235267
646.0,0.235269
647.0,0.235271
648.0,0.235273
649.0,0.235275
650.0,0.235277
651.0,0.235279
652.0,0.235280
653.0,0.235282
654.0,0.235284
655.0,0.235286
656.0,0.235288
657.0,0.235290
658.0,0.235291
659.0,0.235293
660.0,0.235295
661.0,0.235297
